|-----------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------|
|     x     ||     J_{0}    ||     J_{1}    ||     J_{2}    ||     J_{3}    ||     J_{4}    ||     J_{5}    ||     J_{6}    ||     J_{7}    ||     J_{8}    ||     J_{9}    |
|-----------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------||--------------|
|   00.00   ||   +1.00000   ||   +0.00000   ||   +0.00000   ||   -0.00000   ||   -0.00000   ||   -0.00000   ||   +0.00000   ||   +0.00000   ||   +0.00000   ||   -0.00000   |
|   00.99   ||   +0.76958   ||   +0.43678   ||   +0.11281   ||   +0.01901   ||   +0.00238   ||   +0.00024   ||   +0.00002   ||   +0.00000   ||   +0.00000   ||   +0.00000   |
|   01.98   ||   +0.23544   ||   +0.57793   ||   +0.34833   ||   +0.12577   ||   +0.03279   ||   +0.00672   ||   +0.00114   ||   +0.00016   ||   +0.00002   ||   +0.00000   |
|   02.97   ||   -0.24971   ||   +0.35017   ||   +0.48552   ||   +0.30373   ||   +0.12807   ||   +0.04124   ||   +0.01080   ||   +0.00239   ||   +0.00046   ||   +0.00008   |
|   03.96   ||   -0.39949   ||   -0.05070   ||   +0.37388   ||   +0.42835   ||   +0.27514   ||   +0.12748   ||   +0.04679   ||   +0.01430   ||   +0.00375   ||   +0.00086   |
|   04.95   ||   -0.19383   ||   -0.32155   ||   +0.06391   ||   +0.37320   ||   +0.38845   ||   +0.25461   ||   +0.12590   ||   +0.05061   ||   +0.01724   ||   +0.00511   |
|   05.94   ||   +0.13370   ||   -0.28806   ||   -0.23069   ||   +0.13271   ||   +0.36474   ||   +0.35852   ||   +0.23883   ||   +0.12396   ||   +0.05334   ||   +0.01972   |
|   06.93   ||   +0.29901   ||   -0.02581   ||   -0.30646   ||   -0.15108   ||   +0.17566   ||   +0.35386   ||   +0.33496   ||   +0.22616   ||   +0.12192   ||   +0.05534   |
|   07.92   ||   +0.18995   ||   +0.22246   ||   -0.13377   ||   -0.29002   ||   -0.08595   ||   +0.20321   ||   +0.34252   ||   +0.31577   ||   +0.21565   ||   +0.11989   |
|   08.91   ||   -0.06781   ||   +0.25495   ||   +0.12504   ||   -0.19882   ||   -0.25892   ||   -0.03366   ||   +0.22114   ||   +0.33149   ||   +0.29972   ||   +0.20673   |
|   09.90   ||   -0.24034   ||   +0.06837   ||   +0.25415   ||   +0.03432   ||   -0.23335   ||   -0.22289   ||   +0.00822   ||   +0.23285   ||   +0.32106   ||   +0.28604   |
|   10.89   ||   -0.18966   ||   -0.15861   ||   +0.16053   ||   +0.21757   ||   -0.04065   ||   -0.24744   ||   -0.18656   ||   +0.04186   ||   +0.24038   ||   +0.31131   |
|   11.88   ||   +0.02046   ||   -0.22982   ||   -0.05915   ||   +0.20991   ||   +0.16517   ||   -0.09868   ||   -0.24823   ||   -0.15206   ||   +0.06904   ||   +0.24504   |
|   12.87   ||   +0.19601   ||   -0.09739   ||   -0.21115   ||   +0.03177   ||   +0.22596   ||   +0.10869   ||   -0.14151   ||   -0.24063   ||   -0.12025   ||   +0.09113   |
|   13.86   ||   +0.18810   ||   +0.10942   ||   -0.17231   ||   -0.15914   ||   +0.10342   ||   +0.21884   ||   +0.05447   ||   -0.17167   ||   -0.22788   ||   -0.09139   |
|   14.85   ||   +0.01674   ||   +0.20699   ||   +0.01114   ||   -0.20399   ||   -0.09356   ||   +0.15359   ||   +0.19699   ||   +0.00559   ||   -0.19172   ||   -0.21215   |
